Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
338. Latent 1110:  0.287 ( 0.388,  0.101)
339. Latent 1755:  0.287 ( 0.302,  0.015)
340. Latent 1565:  0.287 ( 0.840,  0.552)
341. Latent   14:  0.284 ( 0.302,  0.019)
342. Latent   93:  0.284 ( 0.474,  0.190)
343. Latent  265:  0.284 ( 0.291,  0.007)
344. Latent  829:  0.284 ( 0.325,  0.041)
345. Latent 1463:  0.284 ( 0.854,  0.571)
346. Latent  291:  0.280 ( 0.392,  0.112)
347. Latent  348:  0.280 ( 0.530,  0.250)
348. Latent   21:  0.276 ( 0.280,  0.004)
349. Latent  217:  0.276 ( 0.366,  0.090)
350. Latent  324:  0.276 ( 0.358,  0.082)
351. Latent  458:  0.276 ( 0.291,  0.015)
352. Latent  854:  0.276 ( 0.399,  0.123)
353. Latent  176:  0.276 ( 0.299,  0.022)
354. Latent 1535:  0.272 ( 0.354,  0.082)
355. Latent 1114:  0.272 ( 0.272,  0.000)
356. Latent  204:  0.269 ( 0.351,  0.082)
357. Latent  205:  0.269 ( 0.280,  0.011)
358. Latent 1078:  0.269 ( 0.567,  0.299)
359. Latent 1789:  0.269 ( 0.276,  0.007)
360. Latent 1871:  0.269 ( 0.280,  0.011)
361. Latent  653:  0.265 ( 0.276,  0.011)
362. Latent 1531:  0.265 ( 0.291,  0.026)
363. Latent 1674:  0.265 ( 0.396,  0.131)
364. Latent  537:  0.261 ( 0.593,  0.332)
365. Latent  842:  0.261 ( 0.354,  0.093)
366. Latent  991:  0.261 ( 0.280,  0.019)
367. Latent 1998:  0.261 ( 0.313,  0.052)
368. Latent   54:  0.261 ( 0.265,  0.004)
369. Latent   79:  0.261 ( 0.295,  0.034)
370. Latent  361:  0.261 ( 0.287,  0.026)
371. Latent  374:  0.261 ( 0.754,  0.493)
372. Latent  411:  0.261 ( 0.358,  0.097)
373. Latent   72:  0.257 ( 0.306,  0.049)
374. Latent  461:  0.257 ( 0.418,  0.160)
375. Latent  706:  0.257 ( 0.269,  0.011)
376. Latent 1088:  0.257 ( 0.373,  0.116)
377. Latent 1214:  0.257 ( 0.399,  0.142)
378. Latent 1893:  0.257 ( 0.392,  0.134)
379. Latent   32:  0.254 ( 0.254,  0.000)
380. Latent  150:  0.254 ( 0.287,  0.034)
381. Latent  359:  0.254 ( 0.362,  0.108)
382. Latent  777:  0.254 ( 0.280,  0.026)
383. Latent  919:  0.254 ( 0.336,  0.082)
384. Latent  970:  0.254 ( 0.351,  0.097)
385. Latent 1201:  0.254 ( 0.254,  0.000)
386. Latent 1750:  0.254 ( 0.407,  0.153)
387. Latent 1960:  0.254 ( 0.556,  0.302)
388. Latent  490:  0.254 ( 0.343,  0.090)
389. Latent  858:  0.250 ( 0.291,  0.041)
390. Latent  889:  0.250 ( 0.847,  0.597)
391. Latent 1944:  0.250 ( 0.257,  0.007)
392. Latent 2023:  0.250 ( 0.284,  0.034)
393. Latent  515:  0.246 ( 0.351,  0.104)
394. Latent  221:  0.246 ( 0.265,  0.019)
395. Latent  851:  0.246 ( 0.269,  0.022)
396. Latent 1752:  0.246 ( 0.597,  0.351)
397. Latent  738:  0.243 ( 0.549,  0.306)
398. Latent  992:  0.243 ( 0.287,  0.045)
399. Latent 1422:  0.243 ( 0.896,  0.653)
400. Latent 1051:  0.243 ( 0.373,  0.131)
401. Latent 1391:  0.243 ( 0.257,  0.015)
402. Latent  475:  0.243 ( 0.761,  0.519)
403. Latent 1909:  0.239 ( 0.358,  0.119)
404. Latent   34:  0.239 ( 0.410,  0.172)
405. Latent  967:  0.239 ( 0.246,  0.007)
406. Latent 1680:  0.239 ( 0.243,  0.004)
407. Latent  994:  0.239 ( 0.765,  0.526)
408. Latent 1223:  0.235 ( 0.866,  0.631)
409. Latent  786:  0.235 ( 0.239,  0.004)
410. Latent 2016:  0.235 ( 0.261,  0.026)
411. Latent  127:  0.235 ( 0.306,  0.071)
412. Latent  720:  0.231 ( 0.993,  0.761)
413. Latent 1679:  0.231 ( 0.235,  0.004)
414. Latent 1737:  0.231 ( 0.321,  0.090)
415. Latent 1867:  0.231 ( 0.239,  0.007)
416. Latent 1067:  0.231 ( 0.966,  0.735)
417. Latent 1516:  0.231 ( 0.381,  0.149)
418. Latent 1768:  0.231 ( 0.384,  0.153)
419. Latent   11:  0.228 ( 1.000,  0.772)
420. Latent  807:  0.228 ( 0.358,  0.131)
421. Latent  893:  0.228 ( 0.250,  0.022)
422. Latent 2021:  0.228 ( 0.287,  0.060)
423. Latent  267:  0.228 ( 0.310,  0.082)
424. Latent  293:  0.228 ( 0.306,  0.078)
425. Latent  793:  0.228 ( 0.713,  0.485)
426. Latent 1294:  0.224 ( 0.810,  0.586)
427. Latent  950:  0.224 ( 0.280,  0.056)
428. Latent  979:  0.224 ( 0.396,  0.172)
429. Latent 1695:  0.224 ( 0.351,  0.127)
430. Latent  446:  0.224 ( 0.780,  0.556)
431. Latent  544:  0.224 ( 0.332,  0.108)
432. Latent  608:  0.224 ( 0.347,  0.123)
433. Latent  783:  0.224 ( 0.299,  0.075)
434. Latent 1059:  0.224 ( 0.847,  0.623)
435. Latent 1134:  0.224 ( 0.299,  0.075)
436. Latent 1403:  0.224 ( 0.746,  0.522)
437. Latent 1493:  0.224 ( 0.224,  0.000)
438. Latent 1575:  0.224 ( 0.224,  0.000)
439. Latent 1564:  0.220 ( 0.354,  0.134)
440. Latent  325:  0.220 ( 0.306,  0.086)
441. Latent  799:  0.220 ( 0.265,  0.045)
442. Latent  918:  0.220 ( 0.231,  0.011)
443. Latent 1450:  0.220 ( 0.448,  0.228)
444. Latent  661:  0.220 ( 0.996,  0.776)
445. Latent  948:  0.220 ( 0.687,  0.466)
446. Latent 1808:  0.216 ( 0.601,  0.384)
447. Latent  279:  0.216 ( 0.216,  0.000)
448. Latent  384:  0.216 ( 0.616,  0.399)
449. Latent  941:  0.216 ( 0.515,  0.299)
450. Latent 1143:  0.216 ( 0.993,  0.776)
451. Latent 1919:  0.216 ( 0.216,  0.000)
452. Latent 1077:  0.216 ( 0.228,  0.011)
453. Latent 1105:  0.216 ( 0.246,  0.030)
454. Latent   55:  0.213 ( 0.231,  0.019)
455. Latent 1220:  0.213 ( 0.250,  0.037)
456. Latent 1330:  0.213 ( 0.284,  0.071)
457. Latent  503:  0.213 ( 0.224,  0.011)
458. Latent  553:  0.213 ( 0.243,  0.030)
459. Latent 1498:  0.213 ( 0.578,  0.366)
460. Latent 1883:  0.213 ( 0.653,  0.440)
461. Latent  710:  0.209 ( 0.276,  0.067)
462. Latent 1850:  0.209 ( 0.231,  0.022)
463. Latent 1921:  0.209 ( 0.235,  0.026)
464. Latent 1106:  0.209 ( 0.243,  0.034)
465. Latent 1421:  0.209 ( 0.209,  0.000)
466. Latent  863:  0.205 ( 0.250,  0.045)
467. Latent 1125:  0.205 ( 0.284,  0.078)
468. Latent 1444:  0.205 ( 0.291,  0.086)
469. Latent 1810:  0.205 ( 0.213,  0.007)
470. Latent  824:  0.205 ( 0.340,  0.134)
471. Latent 1055:  0.205 ( 0.306,  0.101)
472. Latent 1026:  0.201 ( 0.388,  0.187)
473. Latent 1306:  0.201 ( 0.993,  0.791)
474. Latent 1962:  0.201 ( 0.959,  0.757)
